TITLE|ISSN|ISBN|START_DATE|END_DATE|PROVIDER|URL|EMBARGO|ENUMCAPTION1|ENUMSTART1|ENUMEND1|ENUMCAPTION2|ENUMSTART2|ENUMEND2
The School Counselor|0036-6536||19900101|19971231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=ehh&amp;jn=SCO&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Scholastic scope|0036-6412||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=ehh&amp;jn=SYK&amp;scope=site|0|Volume|undef||Issue|undef||
Pneuma|0272-0965||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=P48&amp;scope=site|365|Volume|undef||Issue|undef||
The journal of physical chemistry. A|1089-5639||19970101||American Chemical Society Journals|http://proxy.library.brocku.ca/login?url=http://pubs.acs.org/loi/jpcafh|0|Volume|101||Issue|1||
Perspectives on politics|1537-5927||20030101||Cambridge University Press Journals Complete|http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Perspectives+on+politics&amp;url_ver=Z39.88-2004&amp;genre=journal&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_dat=xri%3Apqd%3APMID%3D84999|0|Volume|1||Issue|1||
Ecos|0311-4546||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Ecos|0|Volume|undef||Issue|undef||
The Conservationist|0010-650X||19900101|19951231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/itw/infomark/1/1/1/purl=rc18_CPI_0__jn+%22Conservationist%22?sw_aep=st46245|0|Volume|undef|undef|Issue|undef|undef|
Journal of toxicology. Cutaneous and ocular toxicology|0731-3829||20010101|20041231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=KQ3&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Journal of toxicology. Toxin reviews|0731-3837||20000101|20041231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=GH8&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Journal of phenomenological psychology|0047-2662||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;res_dat=xri:pao-us&amp;issn=00472662|0|Volume|undef||Issue|undef||
Avian pathology|0307-9457||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=cavp20&amp;genre=journal|365|Volume|undef||Issue|undef||
International review of education|0020-8566||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/00208566.html|365|Volume|undef||Issue|undef||
Journal of cultural diversity|1071-5568||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Journal+of+cultural+diversity&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D38581&amp;genre=journal|0|Volume|undef||Issue|undef||
Environmental Engineering|0954-5824||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=HSC&amp;scope=site|0|Volume|undef||Issue|undef||
Minority Nurse Newsletter|1071-9946||20020101|20041231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Minority+Nurse+Newsletter&amp;url_ver=Z39.88-2004&amp;genre=journal&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_dat=xri%3Apqd%3APMID%3D38582|0|Volume|undef|undef|Issue|undef|undef|
Journal of toxicology. Clinical toxicology|0731-3810||19990101|20041231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Journal+of+Toxicology:+Clinical+Toxicology|0|Volume|undef|undef|Issue|undef|undef|
Arms & armour|1741-6124||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=VS5&amp;scope=site|365|Volume|undef||Issue|undef||
The Addiction letter|8756-405X||19940101|19961231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Addiction+Letter|0|Volume|undef|undef|Issue|undef|undef|
Electronic education report|1077-9949||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=ehh&amp;jn=10D&amp;scope=site|90|Volume|undef||Issue|undef||
Ultrasound in obstetrics & gynecology|0960-7692||19980101|20021231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=F0Y&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Journal of agronomy and crop science|0931-2250||19860101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0931-2250&amp;genre=journal|365|Volume|undef||Issue|undef||
Journal of applied entomology|0931-2048||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0931-2048&amp;genre=journal|365|Volume|undef||Issue|undef||
Foundations of chemistry|1386-4238||20030101|20091231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=OFA&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Journal of veterinary medicine. Series B|0931-1793||19980101|20061231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=ES7&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Bulletin of the Atomic Scientists|0096-3402||19900101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/itw/infomark/1/1/1/purl=rc18_CPI_0__jn+%22Bulletin+of+the+Atomic+Scientists%22?sw_aep=st46245|0|Volume|undef||Issue|undef||
Ethical theory and moral practice|1386-2820||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=OEY&amp;scope=site|365|Volume|undef||Issue|undef||
Journal of veterinary medicine. Series A|0931-184X||19980101|20071231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=ES6&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
The Internet journal of medical simulation and technology|1540-2657||||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Internet+Journal+of+Medical+Simulation+and+Technology|0|Volume|||Issue|||
Archive for history of exact sciences|0003-9519||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=EIY&amp;scope=site|365|Volume|undef||Issue|undef||
Education journal|1364-4505||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=ehh&amp;jn=F94&amp;scope=site|0|Volume|undef||Issue|undef||
Pediatric nephrology|0931-041X||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=EF1&amp;scope=site|365|Volume|undef||Issue|undef||
Metaverse creativity|1759-0876||20110101||Wiley  Online Library|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=1759-0884&amp;genre=journal|0|Volume|1||Issue|1||
Ethics & international affairs|0892-6794||20110101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://www.blackwell-synergy.com/openurl?issn=0892-6794&amp;genre=journal|0|Volume|25||Issue|1||
Journal of Iberian and Latin American Studies|1470-1847||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=55M&amp;scope=site|365|Volume|undef||Issue|undef||
Quality in primary care|1479-1072||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=TF3&amp;scope=site|180|Volume|undef||Issue|undef||
Parallel algorithms and applications|1063-7192||20020101|20041231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=J55&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Vital Speeches of the Day|0042-742X||19340101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D17280&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Vital+Speeches+of+the+Day&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D29157&amp;genre=journal|0|Volume|undef||Issue|undef||
Wiley Interdisciplinary Reviews - Developmental|1759-7684||20100101||Wiley  Online Library|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=1759-7684&amp;genre=journal|0|Volume|1||Issue|1||
International journal of behavioral medicine|1070-5503||19940101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=International+journal+of+behavioral+medicine&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D66285&amp;genre=journal|365|Volume|undef||Issue|undef||
The breast journal|1075-122X||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=1075-122X&amp;genre=journal|365|Volume|undef||Issue|undef||
Environmental geosciences|1075-9565||19980101|20021231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://eg.geoscienceworld.org/archive|0|Volume|undef|undef|Issue|undef|undef|
Biomarkers|1354-750X||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.informahealthcare.com/loi/bmk|365|Volume|undef||Issue|undef||
Community college week|1041-5726||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Community+College+Week|0|Volume|undef||Issue|undef||
Indian journal of plastic surgery|0970-0358||20040101||EBSCOhost Academic Search Premier|http://www.pubmedcentral.gov/tocrender.fcgi?action=archive&amp;journal=941|0|Volume|undef||Issue|undef||
Canadian journal of fisheries and aquatic sciences|0706-652X||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Canadian+journal+of+fisheries+and+aquatic+sciences&amp;url_ver=Z39.88-2004&amp;genre=journal&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_dat=xri%3Apqd%3APMID%3D36142|365|Volume|undef||Issue|undef||
Yearbook - Conference of Latin Americanist Geographers|1054-3074||20000101|20021231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=8HZ&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Exchange|0166-2740||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=EDX&amp;scope=site|365|Volume|undef||Issue|undef||
Journal of College Counseling|1099-0399||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Journal+of+College+Counseling|365|Volume|undef||Issue|undef||
ethos|1448-1324||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=ehh&amp;jn=QTN&amp;scope=site|0|Volume|undef||Issue|undef||
Progress in development studies|1464-9934||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://pdj.sagepub.com/content/by/year|0|Volume|undef||Issue|undef||
Nutrition research reviews|0954-4224||19880101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=NRR|0|Volume|1||Issue|undef||
Alternatives Journal|1205-7398||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Alternatives+Journal&amp;url_ver=Z39.88-2004&amp;genre=journal&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_dat=xri%3Apqd%3APMID%3D18218|0|Volume|undef||Issue|undef||
TWICE; This Week in Consumer Electronics|0892-7278||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=TWICE%3B+This+Week+in+Consumer+Electronics&amp;url_ver=Z39.88-2004&amp;genre=journal&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_dat=xri%3Apqd%3APMID%3D32393|0|Volume|undef||Issue|undef||
The Proceedings of the Nutrition Society|0029-6651||19440101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=PNS|0|Volume|1||Issue|1||
Beaver|0005-7517||19900101|20101231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Beaver&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D9514&amp;genre=journal|0|Volume|undef|undef|Issue|undef|undef|
Eating disorders review|1048-6984||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=FYZ&amp;scope=site|0|Volume|undef||Issue|undef||
Nurse prescriber|1467-1158||20040101|20051231|Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=NPR|0|Volume|1|2|Issue|1|6|
Motion system hydraulics & pneumatics|1543-6470||20030101|20041231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=bth&amp;jn=Z3Q&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
British Heritage|0195-2633||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/itw/infomark/1/1/1/purl=rc18_CPI_0__jn+%22British+Heritage%22?sw_aep=st46245|0|Volume|undef||Issue|undef||
Quarterly review of distance education|1528-3518||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Quarterly+Review+of+Distance+Education|0|Volume|undef||Issue|undef||
Policy Studies Journal|0190-292X||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0190-292X&amp;genre=journal|0|Volume|undef||Issue|undef||
International community law review|1871-9740||20060101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=2ZRZ&amp;scope=site|365|Volume|undef||Issue|undef||
International journal of pest management|0967-0874||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=ttpm20&amp;genre=journal|365|Volume|undef||Issue|undef||
Proceedings of the Institution of Mechanical Engineers. Part E, Journal of process mechanical engineering|0954-4089||19970101|20081231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=HT2&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Composite interfaces|0927-6440||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=C1J&amp;scope=site|365|Volume|undef||Issue|undef||
Psychoanalytic studies|1460-8952||19990101|20011231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=56Q&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Journal of the European Academy of Dermatology and Venereology|0926-9959||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0926-9959&amp;genre=journal|365|Volume|undef||Issue|undef||
Journal of consumer psychology|1057-7408||19920101|20071231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/10577408.html|0|Volume|undef|undef|Issue|undef|undef|
International journal of disability, development and education|1034-912X||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=cijd20&amp;genre=journal|365|Volume|undef||Issue|undef||
Science in Context|0269-8897||20010101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=SIC|0|Volume|14||Issue|1||
Education week|0277-4232||19950101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.lexisnexis.com/hottopics/lnacademic?sterms=PUBLICATION(Education+week)&amp;verb=sr&amp;csi=313401|0|Volume|undef||Issue|undef||
Infinite dimensional analysis, quantum probability, and related topics|0219-0257||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=8JK&amp;scope=site|365|Volume|undef||Issue|undef||
Journal of the peripheral nervous system|1085-9489||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=HYG&amp;scope=site|365|Volume|undef||Issue|undef||
Proceedings of the National Academy of Sciences of the United States of America|0027-8424||19150101||Highwire Press Journals|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/00278424.html|0|Volume|undef||Issue|undef||
The Journal of Investigative Dermatology.  Symposium Proceedings|1087-0024||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=Q19&amp;scope=site|365|Volume|undef||Issue|undef||
Prostate Cancer and Prostatic Diseases|1365-7852||19970101||Nature|http://proxy.library.brocku.ca/login?url=http://www.nature.com/pcan/archive/index.html|0|Volume|1||Issue|1||
The Alcoholism report|0276-3613||19930101|19981231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Alcoholism+Report|0|Volume|undef|undef|Issue|undef|undef|
Architecture Australia|0003-8725||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Architecture+Australia|0|Volume|undef||Issue|undef||
The Library imagination paper|0197-5587||19960101|20031231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=ehh&amp;jn=LIP&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Asian Ethnology|1882-6865||20080101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/18826865.html|0|Volume|undef||Issue|undef||
Leonardo electronic almanac|1071-4391||20030101|20071231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=OZJ&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Anglo-Saxon England|0263-6751||20010101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=ASE|0|Volume|30||Issue|undef||
The journal of spirituality and paranormal studies|1932-5770||20060101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=1VEK&amp;scope=site|0|Volume|undef||Issue|undef||
Defence studies|1470-2436||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=fdef20&amp;genre=journal|365|Volume|undef||Issue|undef||
Asymptotic analysis|0921-7134||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=0RJ&amp;scope=site|180|Volume|undef||Issue|undef||
The Internet journal of endocrinology|1540-2606||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Internet+Journal+of+Endocrinology|0|Volume|undef||Issue|undef||
European journal of forest pathology|0300-1237||19710101|19991231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0300-1237&amp;genre=journal|0|Volume|undef|undef|Issue|undef|undef|
European Journal of Theology|0960-2720||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=GL9&amp;scope=site|0|Volume|undef||Issue|undef||
Systems biology in reproductive medicine|1939-6368||20080101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.informahealthcare.com/loi/aan|365|Volume|undef||Issue|undef||
